pathway_code,count
hsa01200,12
hsa01210,13
hsa01212,13
hsa01230,13
hsa01232,11
hsa01250,11
hsa01240,11
hsa00010,11
hsa00020,11
hsa00030,11
hsa00040,12
hsa00051,13
hsa00052,13
hsa00053,12
hsa00500,11
hsa00520,11
hsa00620,12
hsa00630,11
hsa00640,11
hsa00650,10
hsa00562,11
hsa00190,11
hsa00910,11
hsa00920,11
hsa00061,11
hsa00062,11
hsa00071,11
hsa00100,12
hsa00120,11
hsa00140,13
hsa00561,11
hsa00564,11
hsa00565,11
hsa00600,11
hsa00590,11
hsa00591,11
hsa00592,11
hsa01040,11
hsa00230,11
hsa00240,12
hsa00250,11
hsa00260,11
hsa00270,11
hsa00280,11
hsa00290,12
hsa00310,12
hsa00220,13
hsa00330,12
hsa00340,12
hsa00350,11
hsa00360,12
hsa00380,11
hsa00400,11
hsa00410,11
hsa00430,12
hsa00440,11
hsa00450,11
hsa00470,11
hsa00480,11
hsa00510,11
hsa00512,11
hsa00515,11
hsa00532,11
hsa00534,11
hsa00531,11
hsa00563,11
hsa00601,11
hsa00603,11
hsa00604,12
hsa00730,11
hsa00740,11
hsa00750,12
hsa00760,11
hsa00770,12
hsa00780,12
hsa00785,12
hsa00790,11
hsa00670,11
hsa00830,11
hsa00860,11
hsa00130,11
hsa00900,11
hsa00232,12
hsa00524,11
hsa00980,12
hsa00982,11
hsa00983,11
hsa00970,11
